epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.014,1.40072,1.58965,1.26634,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,424.46,1.32617,1.02663,1.20867,0,0,0,0,0,0,0,0.00662778,0.00662778,0.0400203
3,628.361,1.33139,0.99703,1.20738,0,0,0,0,0,0,0,0.00989514,0.00989514,0.00995434
4,831.965,1.32404,0.97099,1.20052,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
5,1035.31,1.2878,0.89648,1.17851,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
6,1238.86,1.26362,0.85039,1.16477,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
7,1440.85,1.24986,0.8268,1.15602,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
8,1643.4,1.23202,0.79961,1.15155,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
9,1845.53,1.22139,0.78146,1.14422,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
10,2047.13,1.21326,0.76827,1.14119,0,0,0,0,0,0,0,0.0095545,0.0095545,0.0095545
11,2248.99,1.20408,0.75504,1.13361,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
12,2451.69,1.19728,0.74222,1.1282,0,0,0,0,0,0,0,0.0094555,0.0094555,0.0094555
13,2655.82,1.19295,0.73245,1.12938,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
14,2856.57,1.18459,0.72437,1.12232,0,0,0,0,0,0,0,0.0093565,0.0093565,0.0093565
15,3057.62,1.17861,0.71445,1.1191,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
16,3259.44,1.17281,0.70701,1.11548,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
17,3461.54,1.17009,0.70353,1.1165,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
18,3661.81,1.16487,0.697,1.1147,0,0,0,0,0,0,0,0.0091585,0.0091585,0.0091585
19,3864.03,1.16066,0.68729,1.11027,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
20,4066.82,1.15909,0.68379,1.10866,0,0,0,0,0,0,0,0.0090595,0.0090595,0.0090595
21,4268.91,1.15494,0.68205,1.10802,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
